ID	adj.P.Val	P.Value	t	B	logFC
TUBA3E	3.04291965415099e-43	8.04026754254344e-48	-21.3859495052592	97.8222284961457	-2.15243780754707
CDC42EP4	2.22557211475643e-41	1.17612012617261e-45	-20.4677719517692	92.8539026394854	-1.15861048253264
TUBA3C	2.66981364106802e-41	2.11632429403479e-45	-20.3608530568101	92.5278974259369	-2.02466518477911
CEBPD	3.18888595006562e-41	3.37038096503263e-45	-20.276344509845	91.8458685164492	-2.25963377750235
ZFP36	1.15795869945676e-40	1.5298297038746e-44	-20.0027465212138	90.3933873885126	-2.19307400534376
TUBA3D	1.38141548376905e-40	2.19005784035679e-44	-19.9381050257148	89.9994441306205	-2.16718619957683
RASD1	6.84208799192053e-40	1.26551328921005e-43	-19.6233982742642	88.4062437414221	-3.51942854154444
SERPINA3	6.34165529243443e-38	1.34051795009976e-41	-18.7973329873529	83.7898709182623	-3.52789151727882
MT1M	7.89364741027319e-38	1.87715549047346e-41	-18.7382497779859	83.6208189184474	-2.23214954298552
FCN3	1.55875482311442e-37	4.11867786057818e-41	-18.6006525307205	82.7229491580742	-2.0217653652004
AXUD1	5.62613791544614e-37	1.78390463946926e-40	-18.345025914987	81.2696124317479	-2.07505940933227
MYH6	5.62613791544614e-37	1.65308267772048e-40	-18.3582741669312	81.1953297655684	-1.83130025382906
CD163	1.10604509773243e-36	3.79923539357439e-40	-18.2137197436314	80.607579512433	-2.11647085429264
S100A9	4.1834721493577e-36	1.65809021403492e-39	-17.9588128302768	79.1244292223627	-2.87442469284553
MAP3K6	7.51770122877077e-36	3.17822807325298e-39	-17.846666903937	78.4129690563039	-1.12079939056347
FPR1	1.43654179065744e-35	6.45278508724212e-39	-17.724890436366	77.9450964834899	-1.35293166524368
YPEL2	1.74785437005846e-35	8.38981319456627e-39	17.6798258505393	77.5539548865694	1.08704262435486
LYVE1	1.74785437005846e-35	8.7748330156716e-39	-17.6721271022495	77.5271785025294	-1.84473754609394
PIK3IP1	2.49413510142097e-34	1.38394644426995e-37	17.201070210504	74.794154519068	1.36400481157559
S1PR3	4.78206958764447e-34	2.77983223929024e-37	-17.0826259756794	74.1217515482628	-1.00501761576239
